# template;challenge;situation code

# 1-A1 Fugitives imploring the powerful for help against their enemies
[Protagonist] is a fugitive asking [Sidekick] for {sanctuary from,help against} the {persecution,pursuit} by [Antagonist].;Protagonist_3/Sidekick_5;1A1;
[Protagonist] is a fugitive and must ask [Antagonist] for {sanctuary from,help against} the {persecution,pursuit} by worse antagonist, [Sidekick].;Protagonist_5/Antagonist_5;1A1;
[Antagonist] is a fugitive asking [Protagonist] for {sanctuary from,help against} the {persecution,pursuit} by worse antagonist [Sidekick].;Antagonist_8/Protagonist_3;1A1;
[Antagonist] is a fugitive asking [Sidekick] for {sanctuary from,help against} pursuit by [Protagonist].;Antagonist_5/Sidekick_5;1A1;
[Sidekick] is a fugitive asking [Protagonist] for {sanctuary from,help against} the {persecution,pursuit} by common enemy [Antagonist].;Antagonist_4/Protagonist_4;1A1;
[Sidekick] is a fugitive asking [Antagonist] for {sanctuary from,help against} a common enemy confused with [Protagonist].;Sidekick_3/Antagonist_8;1A1;

# 1-A2 Assistance implored for the performance of a pious duty which has been forbidden
[Protagonist] asks [Sidekick] for assistance in performing a pious duty blocked by [Antagonist].;Protagonist_5/Antagonist_5;1A2;
[Protagonist] asks [Antagonist] for assistance in performing a pious duty blocked by common adversary [Sidekick].;Protagonist_5/Antagonist_5;1A2;
[Antagonist] asks [Protagonist] for assistance in performing a pious duty blocked by common adversary [Sidekick].;Protagonist_5/Antagonist_5;1A2;
[Sidekick] asks [Protagonist] for assistance in performing a pious duty blocked by [Antagonist].;Protagonist_5/Antagonist_5;1A2;
[Antagonist] asks [Sidekick] for assistance in performing a task blocked by [Protagonist].;Protagonist_5/Antagonist_5;1A2;
[Sidekick] asks [Antagonist] for assistance in performing a task blocked by [Protagonist].;Protagonist_5/Antagonist_5;1A2;

# 1-A3 Appeals for refuge in which to die.
[Protagonist] asks [Antagonist] for a respite.;Protagonist_8/Antagonist_3;1A3;
[Protagonist] asks [Sidekick] for refuge from [Antagonist].;Protagonist_5/Sidekick_5;1A3;
[Antagonist] asks [Protagonist] for a respite.;Protagonist_5/Antagonist_6;1A3;
[Antagonist] asks [Sidekick] for refuge from [Protagonist].;Antagonist_5/Sidekick_5;1A3;
[Sidekick] asks [Protagonist] for refuge.;Sidekick_5/Protagonist_5;1A3;
[Sidekick] asks [Antagonist] for refuge.;Sidekick_5/Antagonist_4;1A3;

# 1-A4 An appeal for knowledge.
[Protagonist] appeals to [Antagonist] for needed information.;Protagonist_7/Antagonist_3;1A4;
[Protagonist] appeals to [Sidekick] for needed information.;Protagonist_6/Sidekick_4;1A4;
[Antagonist] appeals to [Protagonist] for needed information.;Antagonist_6/Protagonist_5;1A4;
[Antagonist] appeals to [Sidekick] for needed information.;Antagonist_5/Sidekick_5;1A4;
[Sidekick] appeals to [Protagonist] for needed information.;Sidekick_5/Protagonist_4;1A4;
[Sidekick] appeals to [Antagonist] for needed information.;Sidekick_5/Antagonist_5;1A4;

# 1-B1 Hospitality besought by the shipwrecked.
[Protagonist], lost, seeks {directions,hospitality} from an incognito [Antagonist];Protagonist_5/Sidekick_3;1B1;
[Protagonist], lost, seeks {directions,hospitality} from [Sidekick];Protagonist_5/Sidekick_5;1B1;
An incognito[Antagonist], lost, seeks {directions,hospitality} from [Protagonist];Antagonist_5/Protagonist_3;1B1;
[Antagonist], lost, seeks {directions,hospitality} from [Sidekick];Antagonist_5/Sidekick_5;1B1;
[Sidekick], lost, seeks {directions,hospitality} from [Protagonist];Sidekick_5/Protagonist_3;1B1;
[Sidekick], lost, seeks {directions,hospitality} from [Antagonist];Sidekick_5/Antagonist_5;1B1;

###
# 1-B2 Charity entreated by those cast off by their own people, whom they have disgraced.

